9.0267,9.0267,9.80269,9.80269,9.33258,0.305832,0.238987,0.0941252,-0.00658992,0
9.02258,9.02464,9.38733,9.59501,9.22302,0.223292,0.156447,0.0702629,-0.00500501,0
9.02236,9.02388,9.51722,9.56908,9.20917,0.213296,0.147562,0.0673099,-0.00480481,189
8.96229,9.00848,9.5556,9.56571,9.19988,0.218076,0.152342,0.0673099,-0.00480481,-37
9.06492,9.01977,9.51222,9.55501,9.19985,0.209348,0.143614,0.0673099,-0.00480481,490
9.21573,9.05243,9.61415,9.56487,9.22099,0.200304,0.13457,0.0673099,-0.00480481,899
9.13723,9.06454,9.54663,9.56226,9.22559,0.194477,0.128743,0.0673099,-0.00480481,1224
9.11746,9.07116,9.49761,9.55418,9.22465,0.188668,0.122934,0.0673099,-0.00480481,1587
9.14544,9.07941,9.47605,9.5455,9.22422,0.181982,0.116248,0.0673099,-0.00480481,2002
9.25851,9.09732,9.49762,9.54071,9.23056,0.173031,0.107298,0.0673099,-0.00480481,2513
9.15708,9.11036,9.43982,9.50443,9.21826,0.153633,0.0878991,0.0673099,-0.00480481,3815
9.12566,9.12067,9.54766,9.52046,9.23162,0.155877,0.0901427,0.0673099,-0.00480481,3580
9.09943,9.12838,9.53733,9.52247,9.23647,0.153638,0.0879039,0.0673099,-0.00480481,3687
9.05618,9.13776,9.42033,9.50894,9.23414,0.144644,0.0789099,0.0673099,-0.00480481,4274
9.12214,9.14349,9.43807,9.50153,9.23316,0.139492,0.0737585,0.0673099,-0.00480481,4609
9.17368,9.13928,9.50618,9.49073,9.22552,0.136911,0.0711768,0.0673099,-0.00480481,4828
9.10147,9.1357,9.45884,9.48195,9.21923,0.134874,0.0691406,0.0673099,-0.00480481,5003
9.19146,9.1431,9.52187,9.48438,9.22415,0.132925,0.0671913,0.0673099,-0.00480481,5093
9.20534,9.14909,9.53605,9.49038,9.2302,0.132927,0.0671927,0.0673099,-0.00480481,5050
9.23213,9.14645,9.5589,9.4965,9.23204,0.136361,0.0706267,0.0673099,-0.00480481,4817
9.09264,9.14001,9.43086,9.49561,9.22839,0.138536,0.0728018,0.0673099,-0.00480481,4704
9.05343,9.13279,9.38358,9.4792,9.21637,0.13494,0.0692058,0.0673099,-0.00480481,5019
9.29084,9.15193,9.68765,9.49423,9.23359,0.133325,0.0675914,0.0673099,-0.00480481,5000
9.17744,9.16406,9.48307,9.50051,9.24282,0.131031,0.0652975,0.0673099,-0.00480481,5082
9.11659,9.1635,9.42614,9.49931,9.24193,0.130782,0.0650477,0.0673099,-0.00480481,5104
9.18798,9.16493,9.57271,9.50597,9.24606,0.132826,0.0670918,0.0673099,-0.00480481,4944
9.16657,9.17144,9.64278,9.52436,9.25875,0.137478,0.0717439,0.0673099,-0.00480481,4556
9.20359,9.17265,9.53704,9.52588,9.26013,0.137596,0.0718625,0.0673099,-0.00480481,4538
9.14307,9.16643,9.55144,9.52742,9.25784,0.140642,0.0749078,0.0673099,-0.00480481,4360
9.22897,9.16611,9.57028,9.52855,9.25827,0.141211,0.0754772,0.0673099,-0.00480481,4321
9.13745,9.17059,9.40996,9.52647,9.25941,0.138636,0.072902,0.0673099,-0.00480481,4477
9.17852,9.1831,9.49779,9.53789,9.27148,0.138205,0.0724708,0.0673099,-0.00480481,4418
9.20292,9.17431,9.62953,9.53207,9.26414,0.139375,0.073641,0.0673099,-0.00480481,4396
9.08008,9.16457,9.39314,9.52308,9.25469,0.139669,0.0728242,0.0673099,-0.00480481,4526
9.19789,9.1727,9.57049,9.53752,9.26614,0.142138,0.0764039,0.0673099,-0.00480481,4206
9.1737,9.17128,9.4957,9.52982,9.26147,0.13968,0.0728348,0.0673099,-0.00480481,4477
9.14709,9.16933,9.40217,9.50576,9.24813,0.131021,0.0641758,0.0673099,-0.00480481,5126
9.2264,9.17161,9.71919,9.52397,9.25863,0.13726,0.0704149,0.0673099,-0.00480481,4652
9.311,9.1884,9.68246,9.53707,9.27369,0.135809,0.0689646,0.0673099,-0.00480481,4636
9.1845,9.18396,9.58503,9.53855,9.27224,0.138129,0.0712842,0.0673099,-0.00480481,4499
9.22601,9.19281,9.60842,9.55839,9.28684,0.142433,0.0755885,0.0673099,-0.00480481,4121
