19.0932,18.8591,18.932,0.0903575,-0.00530333,0.0165464,-0.00062271,67
19.2851,18.3963,18.8011,0.349623,0.255067,0.0165464,-0.00062271,-28190
18.3,18.0462,18.127,0.0980281,0.00236731,0.0183122,-0.000712907,72
19.0745,18.1391,18.5672,0.368823,0.275374,0.0183122,-0.000712907,-31985
19.4145,19.2023,19.2649,0.0818897,-0.0137711,0.0152662,-0.00057247,63
19.73,19.0462,19.3475,0.266674,0.172119,0.0152662,-0.00057247,-20168
18.3468,18.0345,18.1448,0.120695,0.0261399,0.0152662,-0.00057247,-489
19.1412,18.3037,18.682,0.3287,0.235251,0.0152662,-0.00057247,-25847
19.909,18.7181,19.279,0.476709,0.38326,0.0152662,-0.00057247,-43650
19.6712,18.9246,19.2577,0.291879,0.197324,0.0413463,-0.00135851,116
19.0692,18.8553,18.9179,0.0825502,-0.0131106,0.0413463,-0.00135851,22556
18.8876,18.1851,18.494,0.274204,0.179649,0.0413463,-0.00135851,6941
18.1338,17.3532,17.7001,0.305693,0.210032,0.0413463,-0.00135851,9258
18.2256,17.9321,18.0327,0.113406,0.0177448,0.0413463,-0.00135851,26926
19.1857,19.094,19.0957,0.0353828,-0.060278,0.0413463,-0.00135851,26006
19.0635,17.5075,18.2558,0.642805,0.549355,0.121269,-0.00479161,26006
19.7112,19.5407,19.583,0.0657551,-0.0299057,0.0132053,-0.000503327,59
17.9949,17.5846,17.7434,0.158885,0.0643296,0.0132053,-0.000503327,-5192
18.6811,18.0394,18.3169,0.249981,0.155425,0.0132053,-0.000503327,-17326
18.5106,17.8947,18.1588,0.239761,0.144101,0.0132053,-0.000503327,-15682
20.1512,18.467,19.2837,0.705739,0.61229,0.0132053,-0.000503327,-78624
20.1813,18.2079,19.1759,0.862936,0.769487,0.220104,-0.0101367,-78624
17.9145,17.828,17.824,0.0333515,-0.0623093,0.0107996,-0.000501103,57
18.2058,17.2238,17.6739,0.388268,0.293712,0.0107996,-0.000501103,-43271
18.4516,17.7863,18.0753,0.259397,0.167054,0.0393497,-0.00138288,114
19.6601,19.0636,19.3205,0.231993,0.141863,0.0393497,-0.00138288,-6769
20.5433,19.4946,19.9836,0.415931,0.326908,0.0393497,-0.00138288,-25606
19.6567,19.5655,19.568,0.0351394,-0.0538839,0.0393497,-0.00138288,9739
19.7236,19.1461,19.3935,0.224447,0.135424,0.0393497,-0.00138288,-6804
17.9166,18.8669,18.3519,0.375007,0.285984,0.0393497,-0.00138288,-13132
18.467,19.105,18.7437,0.248481,0.159458,0.0393497,-0.00138288,-4098
18.6073,18.4633,18.4898,0.0555629,-0.0345672,0.0393497,-0.00138288,17427
17.9103,17.6661,17.7411,0.0942997,0.00306303,0.0393497,-0.00138288,19920
17.7551,17.2911,17.4763,0.179887,0.0886501,0.0393497,-0.00138288,12690
